Time of Day,Total Incidents,Arson,Bribery,Burglary,Counterfeiting/Forgery,Vandalism,Embezzlement,Extorsion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Estado
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,puertorico
8 p.m.–8:59 p.m.,342330.0,1312.0,36.0,24653.0,3629.0,71708.0,781.0,990.0,20248.0,166362.0,38211.0,9351.0,5049.0,puertorico
9 p.m.–9:59 p.m.,297241.0,1400.0,31.0,22816.0,2773.0,68413.0,702.0,841.0,15191.0,133640.0,37250.0,9449.0,4735.0,puertorico
 10 p.m.–10:59 p.m.,283443.0,1553.0,27.0,22836.0,2244.0,70747.0,618.0,734.0,12377.0,119934.0,39068.0,8516.0,4789.0,puertorico
 11 p.m.–11:59 p.m.,222936.0,1509.0,29.0,20026.0,1808.0,58933.0,434.0,676.0,9861.0,87073.0,30288.0,7595.0,4704.0,puertorico
Unknown Time of Day,119713.0,300.0,12.0,11577.0,3370.0,22481.0,633.0,223.0,15446.0,52326.0,11835.0,713.0,797.0,puertorico
Total,7849624.0,30166.0,652.0,672139.0,147573.0,1497908.0,32481.0,20298.0,843491.0,3618452.0,721157.0,149862.0,115445.0,rhodeisland
Total A.M. Hours,3222185.0,14740.0,264.0,320642.0,64950.0,645310.0,14055.0,8172.0,374019.0,1366563.0,307674.0,57612.0,48184.0,rhodeisland
Midnight–12:59 a.m.,669628.0,2336.0,76.0,56981.0,18829.0,120163.0,3978.0,2131.0,112417.0,281846.0,53317.0,10032.0,7522.0,rhodeisland
1 a.m.–1:59 a.m.,182610.0,1450.0,19.0,21014.0,1751.0,48288.0,288.0,481.0,9898.0,68069.0,20860.0,6264.0,4228.0,rhodeisland
2 a.m.–2:59 a.m.,165874.0,1435.0,23.0,22230.0,1252.0,43416.0,231.0,379.0,7247.0,61276.0,18905.0,5843.0,3637.0,rhodeisland
3 a.m.–3:59 a.m.,151263.0,1385.0,9.0,23467.0,931.0,37638.0,230.0,283.0,6095.0,56243.0,17296.0,4823.0,2863.0,rhodeisland
4 a.m.–4:59 a.m.,133452.0,1286.0,11.0,21932.0,679.0,31673.0,207.0,215.0,5283.0,49727.0,16319.0,3944.0,2176.0,rhodeisland
5 a.m.–5:59 a.m.,130620.0,1081.0,9.0,18813.0,882.0,30032.0,205.0,195.0,6542.0,49162.0,18439.0,3544.0,1716.0,rhodeisland
6 a.m.–6:59 a.m.,157921.0,980.0,8.0,18458.0,1461.0,34615.0,401.0,246.0,10637.0,62656.0,23182.0,3134.0,2143.0,rhodeisland
7 a.m.–7:59 a.m.,211403.0,917.0,7.0,21837.0,2415.0,47387.0,599.0,388.0,14940.0,89737.0,27114.0,2919.0,3143.0,rhodeisland
8 a.m.–8:59 a.m.,361330.0,917.0,19.0,32079.0,9986.0,66462.0,2158.0,1003.0,51920.0,156680.0,32117.0,3315.0,4674.0,rhodeisland
9 a.m.–9:59 a.m.,334059.0,991.0,30.0,28327.0,8549.0,62026.0,1859.0,903.0,46228.0,148505.0,27585.0,3918.0,5138.0,rhodeisland
 10 a.m.–10:59 a.m.,363366.0,1028.0,21.0,28930.0,9243.0,63496.0,1970.0,977.0,51686.0,168597.0,27281.0,4641.0,5496.0,rhodeisland
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,rhodeisland
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,rhodeisland
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,rhodeisland
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,rhodeisland
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,rhodeisland
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,rhodeisland
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,rhodeisland
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,rhodeisland
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,rhodeisland
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,rhodeisland
8 p.m.–8:59 p.m.,342330.0,1312.0,36.0,24653.0,3629.0,71708.0,781.0,990.0,20248.0,166362.0,38211.0,9351.0,5049.0,rhodeisland
9 p.m.–9:59 p.m.,297241.0,1400.0,31.0,22816.0,2773.0,68413.0,702.0,841.0,15191.0,133640.0,37250.0,9449.0,4735.0,rhodeisland
 10 p.m.–10:59 p.m.,283443.0,1553.0,27.0,22836.0,2244.0,70747.0,618.0,734.0,12377.0,119934.0,39068.0,8516.0,4789.0,rhodeisland
 11 p.m.–11:59 p.m.,222936.0,1509.0,29.0,20026.0,1808.0,58933.0,434.0,676.0,9861.0,87073.0,30288.0,7595.0,4704.0,rhodeisland
Unknown Time of Day,119713.0,300.0,12.0,11577.0,3370.0,22481.0,633.0,223.0,15446.0,52326.0,11835.0,713.0,797.0,rhodeisland
Total,7849624.0,30166.0,652.0,672139.0,147573.0,1497908.0,32481.0,20298.0,843491.0,3618452.0,721157.0,149862.0,115445.0,southcarolina
Total A.M. Hours,3222185.0,14740.0,264.0,320642.0,64950.0,645310.0,14055.0,8172.0,374019.0,1366563.0,307674.0,57612.0,48184.0,southcarolina
Midnight–12:59 a.m.,669628.0,2336.0,76.0,56981.0,18829.0,120163.0,3978.0,2131.0,112417.0,281846.0,53317.0,10032.0,7522.0,southcarolina
1 a.m.–1:59 a.m.,182610.0,1450.0,19.0,21014.0,1751.0,48288.0,288.0,481.0,9898.0,68069.0,20860.0,6264.0,4228.0,southcarolina
2 a.m.–2:59 a.m.,165874.0,1435.0,23.0,22230.0,1252.0,43416.0,231.0,379.0,7247.0,61276.0,18905.0,5843.0,3637.0,southcarolina
3 a.m.–3:59 a.m.,151263.0,1385.0,9.0,23467.0,931.0,37638.0,230.0,283.0,6095.0,56243.0,17296.0,4823.0,2863.0,southcarolina
4 a.m.–4:59 a.m.,133452.0,1286.0,11.0,21932.0,679.0,31673.0,207.0,215.0,5283.0,49727.0,16319.0,3944.0,2176.0,southcarolina
5 a.m.–5:59 a.m.,130620.0,1081.0,9.0,18813.0,882.0,30032.0,205.0,195.0,6542.0,49162.0,18439.0,3544.0,1716.0,southcarolina
6 a.m.–6:59 a.m.,157921.0,980.0,8.0,18458.0,1461.0,34615.0,401.0,246.0,10637.0,62656.0,23182.0,3134.0,2143.0,southcarolina
7 a.m.–7:59 a.m.,211403.0,917.0,7.0,21837.0,2415.0,47387.0,599.0,388.0,14940.0,89737.0,27114.0,2919.0,3143.0,southcarolina
8 a.m.–8:59 a.m.,361330.0,917.0,19.0,32079.0,9986.0,66462.0,2158.0,1003.0,51920.0,156680.0,32117.0,3315.0,4674.0,southcarolina
9 a.m.–9:59 a.m.,334059.0,991.0,30.0,28327.0,8549.0,62026.0,1859.0,903.0,46228.0,148505.0,27585.0,3918.0,5138.0,southcarolina
 10 a.m.–10:59 a.m.,363366.0,1028.0,21.0,28930.0,9243.0,63496.0,1970.0,977.0,51686.0,168597.0,27281.0,4641.0,5496.0,southcarolina
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,southcarolina
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,southcarolina
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,southcarolina
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,southcarolina
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,southcarolina
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,southcarolina
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,southcarolina
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,southcarolina
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,southcarolina
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,southcarolina
8 p.m.–8:59 p.m.,342330.0,1312.0,36.0,24653.0,3629.0,71708.0,781.0,990.0,20248.0,166362.0,38211.0,9351.0,5049.0,southcarolina
9 p.m.–9:59 p.m.,297241.0,1400.0,31.0,22816.0,2773.0,68413.0,702.0,841.0,15191.0,133640.0,37250.0,9449.0,4735.0,southcarolina
 10 p.m.–10:59 p.m.,283443.0,1553.0,27.0,22836.0,2244.0,70747.0,618.0,734.0,12377.0,119934.0,39068.0,8516.0,4789.0,southcarolina
 11 p.m.–11:59 p.m.,222936.0,1509.0,29.0,20026.0,1808.0,58933.0,434.0,676.0,9861.0,87073.0,30288.0,7595.0,4704.0,southcarolina
Unknown Time of Day,119713.0,300.0,12.0,11577.0,3370.0,22481.0,633.0,223.0,15446.0,52326.0,11835.0,713.0,797.0,southcarolina
Total,7849624.0,30166.0,652.0,672139.0,147573.0,1497908.0,32481.0,20298.0,843491.0,3618452.0,721157.0,149862.0,115445.0,southdakota
Total A.M. Hours,3222185.0,14740.0,264.0,320642.0,64950.0,645310.0,14055.0,8172.0,374019.0,1366563.0,307674.0,57612.0,48184.0,southdakota
Midnight–12:59 a.m.,669628.0,2336.0,76.0,56981.0,18829.0,120163.0,3978.0,2131.0,112417.0,281846.0,53317.0,10032.0,7522.0,southdakota
1 a.m.–1:59 a.m.,182610.0,1450.0,19.0,21014.0,1751.0,48288.0,288.0,481.0,9898.0,68069.0,20860.0,6264.0,4228.0,southdakota
2 a.m.–2:59 a.m.,165874.0,1435.0,23.0,22230.0,1252.0,43416.0,231.0,379.0,7247.0,61276.0,18905.0,5843.0,3637.0,southdakota
3 a.m.–3:59 a.m.,151263.0,1385.0,9.0,23467.0,931.0,37638.0,230.0,283.0,6095.0,56243.0,17296.0,4823.0,2863.0,southdakota
4 a.m.–4:59 a.m.,133452.0,1286.0,11.0,21932.0,679.0,31673.0,207.0,215.0,5283.0,49727.0,16319.0,3944.0,2176.0,southdakota
5 a.m.–5:59 a.m.,130620.0,1081.0,9.0,18813.0,882.0,30032.0,205.0,195.0,6542.0,49162.0,18439.0,3544.0,1716.0,southdakota
6 a.m.–6:59 a.m.,157921.0,980.0,8.0,18458.0,1461.0,34615.0,401.0,246.0,10637.0,62656.0,23182.0,3134.0,2143.0,southdakota
7 a.m.–7:59 a.m.,211403.0,917.0,7.0,21837.0,2415.0,47387.0,599.0,388.0,14940.0,89737.0,27114.0,2919.0,3143.0,southdakota
8 a.m.–8:59 a.m.,361330.0,917.0,19.0,32079.0,9986.0,66462.0,2158.0,1003.0,51920.0,156680.0,32117.0,3315.0,4674.0,southdakota
9 a.m.–9:59 a.m.,334059.0,991.0,30.0,28327.0,8549.0,62026.0,1859.0,903.0,46228.0,148505.0,27585.0,3918.0,5138.0,southdakota
 10 a.m.–10:59 a.m.,363366.0,1028.0,21.0,28930.0,9243.0,63496.0,1970.0,977.0,51686.0,168597.0,27281.0,4641.0,5496.0,southdakota
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,southdakota
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,southdakota
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,southdakota
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,southdakota
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,southdakota
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,southdakota
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,southdakota
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,southdakota
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,southdakota
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,southdakota
8 p.m.–8:59 p.m.,342330.0,1312.0,36.0,24653.0,3629.0,71708.0,781.0,990.0,20248.0,166362.0,38211.0,9351.0,5049.0,southdakota
9 p.m.–9:59 p.m.,297241.0,1400.0,31.0,22816.0,2773.0,68413.0,702.0,841.0,15191.0,133640.0,37250.0,9449.0,4735.0,southdakota
 10 p.m.–10:59 p.m.,283443.0,1553.0,27.0,22836.0,2244.0,70747.0,618.0,734.0,12377.0,119934.0,39068.0,8516.0,4789.0,southdakota
 11 p.m.–11:59 p.m.,222936.0,1509.0,29.0,20026.0,1808.0,58933.0,434.0,676.0,9861.0,87073.0,30288.0,7595.0,4704.0,southdakota
Unknown Time of Day,119713.0,300.0,12.0,11577.0,3370.0,22481.0,633.0,223.0,15446.0,52326.0,11835.0,713.0,797.0,southdakota
Total,7849624.0,30166.0,652.0,672139.0,147573.0,1497908.0,32481.0,20298.0,843491.0,3618452.0,721157.0,149862.0,115445.0,tennesse
Total A.M. Hours,3222185.0,14740.0,264.0,320642.0,64950.0,645310.0,14055.0,8172.0,374019.0,1366563.0,307674.0,57612.0,48184.0,tennesse
Midnight–12:59 a.m.,669628.0,2336.0,76.0,56981.0,18829.0,120163.0,3978.0,2131.0,112417.0,281846.0,53317.0,10032.0,7522.0,tennesse
1 a.m.–1:59 a.m.,182610.0,1450.0,19.0,21014.0,1751.0,48288.0,288.0,481.0,9898.0,68069.0,20860.0,6264.0,4228.0,tennesse
2 a.m.–2:59 a.m.,165874.0,1435.0,23.0,22230.0,1252.0,43416.0,231.0,379.0,7247.0,61276.0,18905.0,5843.0,3637.0,tennesse
3 a.m.–3:59 a.m.,151263.0,1385.0,9.0,23467.0,931.0,37638.0,230.0,283.0,6095.0,56243.0,17296.0,4823.0,2863.0,tennesse
4 a.m.–4:59 a.m.,133452.0,1286.0,11.0,21932.0,679.0,31673.0,207.0,215.0,5283.0,49727.0,16319.0,3944.0,2176.0,tennesse
5 a.m.–5:59 a.m.,130620.0,1081.0,9.0,18813.0,882.0,30032.0,205.0,195.0,6542.0,49162.0,18439.0,3544.0,1716.0,tennesse
6 a.m.–6:59 a.m.,157921.0,980.0,8.0,18458.0,1461.0,34615.0,401.0,246.0,10637.0,62656.0,23182.0,3134.0,2143.0,tennesse
7 a.m.–7:59 a.m.,211403.0,917.0,7.0,21837.0,2415.0,47387.0,599.0,388.0,14940.0,89737.0,27114.0,2919.0,3143.0,tennesse
8 a.m.–8:59 a.m.,361330.0,917.0,19.0,32079.0,9986.0,66462.0,2158.0,1003.0,51920.0,156680.0,32117.0,3315.0,4674.0,tennesse
9 a.m.–9:59 a.m.,334059.0,991.0,30.0,28327.0,8549.0,62026.0,1859.0,903.0,46228.0,148505.0,27585.0,3918.0,5138.0,tennesse
 10 a.m.–10:59 a.m.,363366.0,1028.0,21.0,28930.0,9243.0,63496.0,1970.0,977.0,51686.0,168597.0,27281.0,4641.0,5496.0,tennesse
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,tennesse
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,tennesse
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,tennesse
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,tennesse
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,tennesse
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,tennesse
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,tennesse
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,tennesse
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,tennesse
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,tennesse
8 p.m.–8:59 p.m.,342330.0,1312.0,36.0,24653.0,3629.0,71708.0,781.0,990.0,20248.0,166362.0,38211.0,9351.0,5049.0,tennesse
9 p.m.–9:59 p.m.,297241.0,1400.0,31.0,22816.0,2773.0,68413.0,702.0,841.0,15191.0,133640.0,37250.0,9449.0,4735.0,tennesse
 10 p.m.–10:59 p.m.,283443.0,1553.0,27.0,22836.0,2244.0,70747.0,618.0,734.0,12377.0,119934.0,39068.0,8516.0,4789.0,tennesse
 11 p.m.–11:59 p.m.,222936.0,1509.0,29.0,20026.0,1808.0,58933.0,434.0,676.0,9861.0,87073.0,30288.0,7595.0,4704.0,tennesse
Unknown Time of Day,119713.0,300.0,12.0,11577.0,3370.0,22481.0,633.0,223.0,15446.0,52326.0,11835.0,713.0,797.0,tennesse
Total,7849624.0,30166.0,652.0,672139.0,147573.0,1497908.0,32481.0,20298.0,843491.0,3618452.0,721157.0,149862.0,115445.0,texas
Total A.M. Hours,3222185.0,14740.0,264.0,320642.0,64950.0,645310.0,14055.0,8172.0,374019.0,1366563.0,307674.0,57612.0,48184.0,texas
Midnight–12:59 a.m.,669628.0,2336.0,76.0,56981.0,18829.0,120163.0,3978.0,2131.0,112417.0,281846.0,53317.0,10032.0,7522.0,texas
1 a.m.–1:59 a.m.,182610.0,1450.0,19.0,21014.0,1751.0,48288.0,288.0,481.0,9898.0,68069.0,20860.0,6264.0,4228.0,texas
2 a.m.–2:59 a.m.,165874.0,1435.0,23.0,22230.0,1252.0,43416.0,231.0,379.0,7247.0,61276.0,18905.0,5843.0,3637.0,texas
3 a.m.–3:59 a.m.,151263.0,1385.0,9.0,23467.0,931.0,37638.0,230.0,283.0,6095.0,56243.0,17296.0,4823.0,2863.0,texas
4 a.m.–4:59 a.m.,133452.0,1286.0,11.0,21932.0,679.0,31673.0,207.0,215.0,5283.0,49727.0,16319.0,3944.0,2176.0,texas
5 a.m.–5:59 a.m.,130620.0,1081.0,9.0,18813.0,882.0,30032.0,205.0,195.0,6542.0,49162.0,18439.0,3544.0,1716.0,texas
6 a.m.–6:59 a.m.,157921.0,980.0,8.0,18458.0,1461.0,34615.0,401.0,246.0,10637.0,62656.0,23182.0,3134.0,2143.0,texas
7 a.m.–7:59 a.m.,211403.0,917.0,7.0,21837.0,2415.0,47387.0,599.0,388.0,14940.0,89737.0,27114.0,2919.0,3143.0,texas
8 a.m.–8:59 a.m.,361330.0,917.0,19.0,32079.0,9986.0,66462.0,2158.0,1003.0,51920.0,156680.0,32117.0,3315.0,4674.0,texas
9 a.m.–9:59 a.m.,334059.0,991.0,30.0,28327.0,8549.0,62026.0,1859.0,903.0,46228.0,148505.0,27585.0,3918.0,5138.0,texas
 10 a.m.–10:59 a.m.,363366.0,1028.0,21.0,28930.0,9243.0,63496.0,1970.0,977.0,51686.0,168597.0,27281.0,4641.0,5496.0,texas
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,texas
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,texas
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,texas
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,texas
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,texas
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,texas
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,texas
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,texas
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,texas
7 p.m.–7:59 p.m.,352372.0,1292.0,37.0,25006.0,4094.0,68938.0,981.0,997.0,24217.0,178099.0,34834.0,8697.0,5180.0,texas
8 p.m.–8:59 p.m.,342330.0,1312.0,36.0,24653.0,3629.0,71708.0,781.0,990.0,20248.0,166362.0,38211.0,9351.0,5049.0,texas
9 p.m.–9:59 p.m.,297241.0,1400.0,31.0,22816.0,2773.0,68413.0,702.0,841.0,15191.0,133640.0,37250.0,9449.0,4735.0,texas
 10 p.m.–10:59 p.m.,283443.0,1553.0,27.0,22836.0,2244.0,70747.0,618.0,734.0,12377.0,119934.0,39068.0,8516.0,4789.0,texas
 11 p.m.–11:59 p.m.,222936.0,1509.0,29.0,20026.0,1808.0,58933.0,434.0,676.0,9861.0,87073.0,30288.0,7595.0,4704.0,texas
Unknown Time of Day,119713.0,300.0,12.0,11577.0,3370.0,22481.0,633.0,223.0,15446.0,52326.0,11835.0,713.0,797.0,texas
Total,7849624.0,30166.0,652.0,672139.0,147573.0,1497908.0,32481.0,20298.0,843491.0,3618452.0,721157.0,149862.0,115445.0,utah
Total A.M. Hours,3222185.0,14740.0,264.0,320642.0,64950.0,645310.0,14055.0,8172.0,374019.0,1366563.0,307674.0,57612.0,48184.0,utah
Midnight–12:59 a.m.,669628.0,2336.0,76.0,56981.0,18829.0,120163.0,3978.0,2131.0,112417.0,281846.0,53317.0,10032.0,7522.0,utah
1 a.m.–1:59 a.m.,182610.0,1450.0,19.0,21014.0,1751.0,48288.0,288.0,481.0,9898.0,68069.0,20860.0,6264.0,4228.0,utah
2 a.m.–2:59 a.m.,165874.0,1435.0,23.0,22230.0,1252.0,43416.0,231.0,379.0,7247.0,61276.0,18905.0,5843.0,3637.0,utah
3 a.m.–3:59 a.m.,151263.0,1385.0,9.0,23467.0,931.0,37638.0,230.0,283.0,6095.0,56243.0,17296.0,4823.0,2863.0,utah
4 a.m.–4:59 a.m.,133452.0,1286.0,11.0,21932.0,679.0,31673.0,207.0,215.0,5283.0,49727.0,16319.0,3944.0,2176.0,utah
5 a.m.–5:59 a.m.,130620.0,1081.0,9.0,18813.0,882.0,30032.0,205.0,195.0,6542.0,49162.0,18439.0,3544.0,1716.0,utah
6 a.m.–6:59 a.m.,157921.0,980.0,8.0,18458.0,1461.0,34615.0,401.0,246.0,10637.0,62656.0,23182.0,3134.0,2143.0,utah
7 a.m.–7:59 a.m.,211403.0,917.0,7.0,21837.0,2415.0,47387.0,599.0,388.0,14940.0,89737.0,27114.0,2919.0,3143.0,utah
8 a.m.–8:59 a.m.,361330.0,917.0,19.0,32079.0,9986.0,66462.0,2158.0,1003.0,51920.0,156680.0,32117.0,3315.0,4674.0,utah
9 a.m.–9:59 a.m.,334059.0,991.0,30.0,28327.0,8549.0,62026.0,1859.0,903.0,46228.0,148505.0,27585.0,3918.0,5138.0,utah
 10 a.m.–10:59 a.m.,363366.0,1028.0,21.0,28930.0,9243.0,63496.0,1970.0,977.0,51686.0,168597.0,27281.0,4641.0,5496.0,utah
 11 a.m.–11:59 a.m.,360659.0,934.0,32.0,26574.0,8972.0,60114.0,1929.0,971.0,51126.0,174065.0,25259.0,5235.0,5448.0,utah
Total P.M. Hours,4507726.0,15126.0,376.0,339920.0,79253.0,830117.0,17793.0,11903.0,454026.0,2199563.0,401648.0,91537.0,66464.0,utah
Noon–12:59 p.m.,520008.0,1114.0,29.0,38836.0,15523.0,74416.0,3295.0,1631.0,93534.0,243575.0,35719.0,5983.0,6353.0,utah
1 p.m.–1:59 p.m.,381990.0,1043.0,38.0,26340.0,9166.0,58918.0,2042.0,904.0,52902.0,193436.0,25413.0,5970.0,5818.0,utah
2 p.m.–2:59 p.m.,399705.0,1113.0,29.0,27508.0,9929.0,61830.0,2100.0,950.0,53010.0,203551.0,26885.0,6553.0,6247.0,utah
3 p.m.–3:59 p.m.,426051.0,1093.0,23.0,30637.0,9787.0,67820.0,2160.0,1006.0,53485.0,217832.0,29169.0,6857.0,6182.0,utah
4 p.m.–4:59 p.m.,426757.0,1230.0,34.0,31987.0,8714.0,70324.0,1847.0,1020.0,48010.0,218862.0,31241.0,7282.0,6206.0,utah
5 p.m.–5:59 p.m.,446851.0,1259.0,29.0,37225.0,6722.0,81410.0,1573.0,1077.0,39808.0,228039.0,36457.0,7338.0,5914.0,utah
6 p.m.–6:59 p.m.,408042.0,1208.0,34.0,32050.0,4864.0,76660.0,1260.0,1077.0,31383.0,209160.0,37113.0,7946.0,5287.0,utah
